model_id,weight,log_likelihood,OCFACMULT,OCFACMULT_level,DTAUASTH,DTAUASTH_level,CALVNICK,CALVNICK_level
run9,0.053242689,-2.479591806,0.3,Low,5000,High,1.5,High
run1,0.051539285,-2.512107972,0.3,Low,100,Low,0.3,Low
run25,0.04749595,-2.593807851,5,High,5000,High,0.3,Low
run14,0.046775897,-2.609084251,3,Medium,3000,Medium,1,Medium
run2,0.046018136,-2.625416709,0.3,Low,100,Low,1,Medium
run23,0.045065693,-2.646331033,5,High,3000,Medium,1,Medium
run16,0.044428644,-2.660567892,3,Medium,5000,High,0.3,Low
run5,0.043890545,-2.672753366,0.3,Low,3000,Medium,1,Medium
run6,0.043862303,-2.673397045,0.3,Low,3000,Medium,1.5,High
run7,0.042103109,-2.71433071,0.3,Low,5000,High,0.3,Low
run13,0.041315517,-2.733214152,3,Medium,3000,Medium,0.3,Low
run4,0.039582955,-2.77605369,0.3,Low,3000,Medium,0.3,Low
run26,0.039506866,-2.777977832,5,High,5000,High,1,Medium
run17,0.03928157,-2.78369684,3,Medium,5000,High,1,Medium
run15,0.036636009,-2.853420691,3,Medium,3000,Medium,1.5,High
run8,0.035776011,-2.877174704,0.3,Low,5000,High,1,Medium
run22,0.035159481,-2.894557996,5,High,3000,Medium,0.3,Low
run12,0.031987149,-2.989118078,3,Medium,100,Low,1.5,High
run27,0.031182272,-3.014602563,5,High,5000,High,1.5,High
run19,0.029996633,-3.053367145,5,High,100,Low,0.3,Low
run10,0.027695183,-3.133193792,3,Medium,100,Low,0.3,Low
run24,0.026847058,-3.164296065,5,High,3000,Medium,1.5,High
run11,0.025470353,-3.216937157,3,Medium,100,Low,1,Medium
run18,0.02541617,-3.219066703,3,Medium,5000,High,1.5,High
run20,0.025369484,-3.220905257,5,High,100,Low,1,Medium
run3,0.02499873,-3.235627267,0.3,Low,100,Low,1.5,High
run21,0.019356306,-3.491434042,5,High,100,Low,1.5,High